Wikipedia__	OpenWikipedia__	otwórz wikipedię
Wikipedia__	OpenWikipedia__	uruchom wikipedię
Wikipedia__	OpenWikipedia__	otwórz stronę na wikipedii
Wikipedia__	OpenWikipedia__	uruchom stronę na wikipedii
Wikipedia__	OpenWikipedia__	wyświetl stronę na wikipedii
Wikipedia__	OpenWikipedia__	definicja na wikipedii
Wikipedia__	OpenWikipedia__	sprawdź definicję na wikipedii
Wikipedia__	OpenWikipedia__	wyszukaj definicję na wikipedii
Wikipedia__	SearchQuery__	szukaj {QUERY:statue of zeus at olympia} na wiki
Wikipedia__	SearchQuery__	szukaj {QUERY:rms titanic} na wikipedii
Wikipedia__	SearchQuery__	znajdź {QUERY:led zeppelin iv} na wiki
Wikipedia__	SearchQuery__	znajdź {QUERY:gillette stadium} na wikipedii
Wikipedia__	SearchQuery__	znajdź mi {QUERY:mariah carey} na wiki
Wikipedia__	SearchQuery__	znajdź mi {QUERY:los angeles international airport} na wikipedii
Wikipedia__	SearchQuery__	wyszukaj {QUERY:berlin wall} na wiki
Wikipedia__	SearchQuery__	wyszukaj {QUERY:mark wahlberg} na wikipedii
Wikipedia__	SearchQuery__	wyszukaj mi {QUERY:coronavirus} na wiki
Wikipedia__	SearchQuery__	wyszukaj mi {QUERY:emma watson} na wikipedii
Wikipedia__	SearchQuery__	pokaż {QUERY:chichen itza} na wiki
Wikipedia__	SearchQuery__	pokaż {QUERY:gateway of india} na wikipedii
Wikipedia__	SearchQuery__	pokaż mi {QUERY:queen} na wiki
Wikipedia__	SearchQuery__	pokaż mi {QUERY:big ben} na wikipedii
Wikipedia__	SearchQuery__	wyświetl {QUERY:toronto} na wiki
Wikipedia__	SearchQuery__	wyświetl {QUERY:kanye west} na wikipedii
Wikipedia__	SearchQuery__	wyświetl mi {QUERY:prince george of cambridge} na wiki
Wikipedia__	SearchQuery__	wyświetl mi {QUERY:nina hartley} na wikipedii
Wikipedia__	SearchQuery__	strona o {QUERY:hong kong} na wiki
Wikipedia__	SearchQuery__	strona o {QUERY:to kill a mockingbird} na wikipedii
Wikipedia__	SearchQuery__	{QUERY:stonehenge} na wiki
Wikipedia__	SearchQuery__	{QUERY:mahabharata} na wikipedii
Wikipedia__	ScrollDown__	w dół
Wikipedia__	ScrollDown__	niżej
Wikipedia__	ScrollDown__	strona w dół
Wikipedia__	ScrollDown__	strona niżej
Wikipedia__	ScrollDown__	stronę w dół
Wikipedia__	ScrollDown__	stronę niżej
Wikipedia__	ScrollDown__	przewiń stronę w dół
Wikipedia__	ScrollDown__	przewiń stronę niżej
Wikipedia__	ScrollDown__	scrolluj w dół
Wikipedia__	ScrollDown__	scrolluj stronę w dół
Wikipedia__	ScrollDown__	kawałek w dół
Wikipedia__	ScrollUp__	w górę
Wikipedia__	ScrollUp__	wyżej
Wikipedia__	ScrollUp__	strona w górę
Wikipedia__	ScrollUp__	strona wyżej
Wikipedia__	ScrollUp__	stronę w górę
Wikipedia__	ScrollUp__	stronę wyżej
Wikipedia__	ScrollUp__	przewiń stronę w górę
Wikipedia__	ScrollUp__	przewiń stronę wyżej
Wikipedia__	ScrollUp__	scrolluj do góry
Wikipedia__	ScrollUp__	scrolluj stronę do góry
Wikipedia__	ScrollUp__	kawałek do góry
Wikipedia__	DownloadAsPdf__	ściągnij tę stronę jako pdf
Wikipedia__	DownloadAsPdf__	ściągnij ten artukuł jako pdf
Wikipedia__	DownloadAsPdf__	pobierz tę stronę jako pdf
Wikipedia__	DownloadAsPdf__	pobierz ten artukuł jako pdf
Wikipedia__	DownloadAsPdf__	zachowaj tę stronę jako pdf
Wikipedia__	DownloadAsPdf__	zachowaj ten artukuł jako pdf
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na angielski
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na polski
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na niemiecki
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na francuski
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na włoski
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na hiszpański
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na rosyjski
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na chiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na ukraiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na arabski
Wikipedia__	ChangeLanguageToLanguage__	zmień język strony na portugalski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na angielski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na polski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na niemiecki
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na francuski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na włoski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na hiszpański
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na rosyjski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na chiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na ukraiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na arabski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tej strony na portugalski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na angielski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na polski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na niemiecki
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na francuski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na włoski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na hiszpański
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na rosyjski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na chiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na ukraiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na arabski
Wikipedia__	ChangeLanguageToLanguage__	zmień język artykułu na portugalski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na angielski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na polski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na niemiecki
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na francuski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na włoski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na hiszpański
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na rosyjski
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na chiński
Wikipedia__	ChangeLanguageToLanguage__	zmień język tego artykułu na ukraiński
