domain	intent	utterance	bio
Websearch	OpenEngine	busca en bing	o o o
Websearch	OpenEngine	busca en google	o o o
Websearch	OpenEngine	busca en duckduckgo	o o o
Websearch	OpenEngine	búsqueda en bing	o o o
Websearch	OpenEngine	búsqueda en google	o o o
Websearch	OpenEngine	búsqueda en duckduckgo	o o o
Websearch	SearchTextOnEngine	bing gls	o b-txt_query
Websearch	SearchTextOnEngine	bing antivirus	o b-txt_query
Websearch	SearchTextOnEngine	bing amazon	o b-txt_query
Websearch	SearchTextOnEngine	bing cuponazo	o b-txt_query
Websearch	SearchTextOnEngine	bing caroline flack	o b-txt_query i-txt_query
Websearch	SearchTextOnEngine	bing fichajes	o b-txt_query
Websearch	SearchTextOnEngine	bing frases	o b-txt_query
Websearch	SearchTextOnEngine	bing real sociedad	o b-txt_query i-txt_query
Websearch	SearchTextOnEngine	bing elle	o b-txt_query
Websearch	SearchTextOnEngine	duckduckgo tigre	o b-txt_query
Websearch	SearchTextOnEngine	duckduckgo frases bonitas	o b-txt_query i-txt_query
Websearch	SearchTextOnEngine	duckduckgo call of duty modern warfare	o b-txt_query i-txt_query i-txt_query i-txt_query i-txt_query
Websearch	SearchTextOnEngine	duckduckgo última hora coronavirus	o b-txt_query i-txt_query i-txt_query
Websearch	SearchTextOnEngine	duckduckgo trueno	o b-txt_query
Websearch	SearchTextOnEngine	duckduckgo cadiz	o b-txt_query
Websearch	SearchTextOnEngine	duckduckgo outlook	o b-txt_query
Websearch	SearchTextOnEngine	duckduckgo divxtotal	o b-txt_query
Websearch	SearchTextOnEngine	duckduckgo mitele plus	o b-txt_query i-txt_query
Websearch	SearchTextOnEngine	cayetano rivera en bing	b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	cupon once en bing	b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	natalia jimenez en bing	b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	edu en bing	b-txt_query o o
Websearch	SearchTextOnEngine	covid-19 en bing	b-txt_query o o
Websearch	SearchTextOnEngine	ayuntamiento en bing	b-txt_query o o
Websearch	SearchTextOnEngine	sitges en bing	b-txt_query o o
Websearch	SearchTextOnEngine	kahoot it en bing	b-txt_query i-txt_query o o
