domain	intent	utterance	bio
Youtube	OpenYT	open yt	o o
Youtube	OpenYT	open youtube	o o
Youtube	FindQuery	find cats sneezing in boxes on youtube	o b-query i-query i-query i-query o o
Youtube	FindQuery	find play bone thugz n harmony on youtube	o b-query i-query i-query i-query i-query o o
Youtube	FindQuery	find make a paper airplane video on youtube	o b-query i-query i-query i-query o o o
Youtube	FindQuery	find yoga class videos video on youtube	o b-query i-query i-query o o o
Youtube	FindQuery	find bruno mars video on youtube	o b-query i-query o o o
Youtube	FindQuery	find norris nuts video on youtube	o b-query i-query o o o
Youtube	FindQuery	find shimmer and shine video on youtube	o b-query i-query i-query o o o
Youtube	FindQuery	find michael jackson video on youtube	o b-query i-query o o o
Youtube	FindQuery	find jon snow videos on youtube	o b-query i-query o o o
Youtube	FindQuery	find dragon ball fight videos on youtube	o b-query i-query i-query o o o
Youtube	FindQuery	find playlist hits 2017 videos on youtube	o b-query i-query i-query o o o
Youtube	FindQuery	find a video matching stretching routine on youtube	o o o o b-query i-query o o
Youtube	FindQuery	find a video matching ozuna on youtube	o o o o b-query o o
Youtube	FindQuery	find youtube video how to make jolluf rice	o o o b-query i-query i-query i-query i-query
Youtube	FindQuery	find youtube video fiesta brake pad change diy	o o o b-query i-query i-query i-query i-query
Youtube	FindQuery	find youtube video pink	o o o b-query
Youtube	FindQuery	look for ed sheeran new song on youtube	o o b-query i-query i-query i-query o o
Youtube	FindQuery	look for monster hunter world game play on youtube	o o b-query i-query i-query i-query i-query o o
Youtube	FindQuery	look for conan best moments on youtube	o o b-query i-query i-query o o
Youtube	FindQuery	look for billie eilish video on youtube	o o b-query i-query o o o
Youtube	FindQuery	look for magic school bus video on youtube	o o b-query i-query i-query o o o
Youtube	FindQuery	look for black sabboth 13 full album video on youtube	o o b-query i-query i-query i-query i-query o o o
Youtube	FindQuery	look for how to disassemble a fan video on youtube	o o b-query i-query i-query i-query i-query o o o
Youtube	FindQuery	look for queen video on youtube	o o b-query o o o
