domain	intent	utterance	bio
Websearch	OpenEngine	szukaj na google	o o o
Websearch	OpenEngine	szukaj na duckduckgo	o o o
Websearch	OpenEngine	wyszukaj na bing	o o o
Websearch	OpenEngine	wyszukaj na google	o o o
Websearch	OpenEngine	wyszukaj na duckduckgo	o o o
Websearch	OpenEngine	poszukaj na bing	o o o
Websearch	OpenEngine	poszukaj na duckduckgo	o o o
Websearch	OpenEngine	chcę wyszukać na bing	o o o o
Websearch	OpenEngine	chcę wyszukać na google	o o o o
Websearch	OpenEngine	chcę wyszukać na duckduckgo	o o o o
Websearch	OpenEngine	bing wyszukiwarka	o o
Websearch	OpenEngine	google wyszukiwarka	o o
Websearch	OpenEngine	wyszukiwarka	o
Websearch	SearchTextOnEngine	ztm w bing	b-txt_query o o
Websearch	SearchTextOnEngine	castorama w google	b-txt_query o o
Websearch	SearchTextOnEngine	onet w duckduckgo	b-txt_query o o
Websearch	SearchTextOnEngine	youtube na bing	b-txt_query o o
Websearch	SearchTextOnEngine	wp na google	b-txt_query o o
Websearch	SearchTextOnEngine	facebook na duckduckgo	b-txt_query o o
Websearch	SearchTextOnEngine	bing pudelek	o b-txt_query
Websearch	SearchTextOnEngine	strony na których znajdę epuap w google	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony na których znajdę rozkład jazdy w duckduckgo	o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony na których znajdę instagram na bing	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony na których znajdę poczta śledzenie na google	o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony na których znajdę google maps na duckduckgo	o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony na których odnajdę kraków w bing	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony na których odnajdę interia w google	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony na których odnajdę pkp w duckduckgo	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony na których odnajdę mapa na bing	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony na których odnajdę dpd śledzenie na google	o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony na których odnajdę inpost na duckduckgo	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których znajdę yt w bing	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których znajdę tablica pl w google	o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony w których znajdę bydgoszcz w duckduckgo	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których znajdę śledzenie przesyłek na bing	o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony w których znajdę gumtree na duckduckgo	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których odnajdę tablica w bing	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których odnajdę poczta w google	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których odnajdę lidl w duckduckgo	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których odnajdę tauron na bing	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których odnajdę fb na google	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony w których odnajdę krs na duckduckgo	o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których znajdę olx w bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których znajdę biedronka w google	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których znajdę gumtree kraków w duckduckgo	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których znajdę kzk na bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których znajdę stooq na google	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których znajdę kino galeria młociny na duckduckgo	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których odnajdę onet poczta w bing	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których odnajdę żel antybakteryjny w google	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których odnajdę futro z misia w duckduckgo	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których odnajdę program tv na bing	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których odnajdę multi multi wyniki na google	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe na których odnajdę koronawirus memy na duckduckgo	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których znajdę lighthouse w bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których znajdę wiadomosci w google	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których znajdę burze dzis net w duckduckgo	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których znajdę fotka nowe na bing	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których znajdę piosenki dla dzieci na google	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których znajdę 1800 gramów na duckduckgo	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których odnajdę meble w google	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których odnajdę mihome w duckduckgo	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których odnajdę falasca na bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których odnajdę sony na google	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony internetowe w których odnajdę echo dnia na duckduckgo	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których znajdę buty w bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony www na których znajdę objawy koronawirusa w google	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których znajdę rtv w duckduckgo	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony www na których znajdę basen na bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony www na których znajdę godziny pracy 2020 na google	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których znajdę wiadomości na duckduckgo	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony www na których odnajdę dzielenie ułamków dziesiętnych w bing	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których odnajdę jan szyszko w google	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których odnajdę pacjent gov pl w duckduckgo	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których odnajdę empik na bing	o o o o o b-txt_query o o
Websearch	SearchTextOnEngine	strony www na których odnajdę tlumacz angielski polski na google	o o o o o b-txt_query i-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www na których odnajdę pudel toy na duckduckgo	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www w których znajdę media markt w bing	o o o o o b-txt_query i-txt_query o o
Websearch	SearchTextOnEngine	strony www w których znajdę wordwall w google	o o o o o b-txt_query o o
