domain	intent	parallel	pattern 	 o
Translate	SetDefaultLanguage	True	ustaw język na włoski 	 o o o b-all_lang
Translate	SetDefaultLanguage	True	ustaw język tłumaczenia na francuski 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	ustaw język docelowy na angielski 	 o o o o b-all_lang
Translate	SetDefaultLanguage	True	ustaw domyślny język na rosyjski 	 o o o o b-all_lang
Translate	SetDefaultLanguage	True	ustaw domyślny język tłumaczenia na polski 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	ustaw domyślny język docelowy na niemiecki 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	ustaw domyślny język wyjścia na hiszpański 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw język tłumaczenia na czeski 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw język docelowy na fiński 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw język wyjścia na esperanto 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw domyślny język na turecki 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw domyślny język tłumaczenia na grecki 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw domyślny język docelowy na mongolski 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	nastaw domyślny język wyjścia na hawajski 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz język na hindi 	 o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz język tłumaczenia na islandzki 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz język docelowy na włoski 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz domyślny język na angielski 	 o o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz domyślny język tłumaczenia na japoński 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz domyślny język docelowy na rosyjski 	 o o o o o b-all_lang
Translate	SetDefaultLanguage	False	przełącz domyślny język wyjścia na polski 	 o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	ustaw język wejściowy na niemiecki 	 o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	ustaw język wejścia na hiszpański 	 o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	ustaw domyślny język wejścia na czeski 	 o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	nastaw język wejściowy na fiński 	 o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	nastaw język wejścia na esperanto 	 o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	nastaw domyślny język wejściowy na turecki 	 o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	nastaw domyślny język wejścia na grecki 	 o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	przełącz język wejściowy na mongolski 	 o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	przełącz domyślny język wejściowy na hindi 	 o o o o o b-all_lang
Translate	SetDefaultLanguageToLanguage	False	przełącz domyślny język wejścia na islandzki 	 o o o o o b-all_lang
Translate	TranslateText	False	tłumaczenie tego zdania can you change a traveller's check for me 	 o o o b-text i-text i-text i-text i-text i-text i-text i-text
Translate	TranslateText	False	jakie jest tłumaczenie do you have anything quieter 	 o o o b-text i-text i-text i-text i-text
Translate	TranslateText	False	jakie jest tłumaczenie tego zdania take me there please 	 o o o o o b-text i-text i-text i-text
Translate	TranslateText	False	wykonaj tłumaczenie what is your name 	 o o b-text i-text i-text i-text
Translate	TranslateText	False	wykonaj tłumaczenie tego zdania in the afternoon 	 o o o o b-text i-text i-text
Translate	TranslateText	False	przetłumacz january 	 o b-text
Translate	TranslateText	False	przetłumacz to i lost my bag 	 o o b-text i-text i-text i-text
Translate	TranslateText	False	przetłumacz mi ok i'll take it 	 o o b-text i-text i-text i-text
Translate	TranslateText	False	przetłumacz mi zdanie i am an american citizen 	 o o o b-text i-text i-text i-text i-text
Translate	TranslateText	False	przetłumacz mi to i don't want it 	 o o o b-text i-text i-text i-text
Translate	TranslateText	False	jak przetłumaczyć west 	 o o b-text
Translate	TranslateText	False	jak przetłumaczyć to zdanie can i look at the menu please 	 o o o o b-text i-text i-text i-text i-text i-text i-text
Translate	TranslateText	False	jak przetłumaczyć to bus and train 	 o o o b-text i-text i-text
Translate	TranslateText	False	jak przetłumaczyć zdanie how much is that 	 o o o b-text i-text i-text i-text
Translate	TranslateText	False	jak przetłumaczyć mi to zdanie that's too expensive 	 o o o o o b-text i-text i-text
Translate	TranslateText	False	jak przetłumaczyć mi to red 	 o o o o b-text
Translate	TranslateText	False	jak przetłumaczyć mi zdanie i've been injured 	 o o o o b-text i-text i-text
Translate	TranslateText	False	jak mogę przetłumaczyć white 	 o o o b-text
Translate	TranslateText	False	jak mogę przetłumaczyć to zdanie can i have a bag 	 o o o o o b-text i-text i-text i-text i-text
Translate	TranslateText	False	jak mogę przetłumaczyć to i need toothpaste 	 o o o o b-text i-text i-text
Translate	TranslateText	False	jak mogę przetłumaczyć zdanie excuse me waiter 	 o o o o b-text i-text i-text
Translate	TranslateText	False	jak mogę przetłumaczyć mi can you change money for me 	 o o o o b-text i-text i-text i-text i-text i-text
Translate	TranslateText	False	jak mogę przetłumaczyć mi to zdanie saturday 	 o o o o o o b-text
Translate	TranslateText	False	jak mogę przetłumaczyć mi to where is the toilet 	 o o o o o b-text i-text i-text i-text
Translate	TranslateText	False	jak możesz przetłumaczyć to zdanie hi how are you 	 o o o o o b-text i-text i-text i-text
Translate	TranslateText	False	jak możesz przetłumaczyć to noodles 	 o o o o b-text
Translate	TranslateText	False	jak możesz przetłumaczyć zdanie do you speak english 	 o o o o b-text i-text i-text i-text
Translate	TranslateText	False	jak możesz przetłumaczyć mi brown 	 o o o o b-text
Translate	TranslateText	False	jak możesz przetłumaczyć mi to zdanie right 	 o o o o o o b-text
Translate	TranslateText	False	jak możesz przetłumaczyć mi to rice 	 o o o o o b-text
Translate	TranslateText	False	jak możesz przetłumaczyć mi zdanie november 	 o o o o o b-text
Translate	TranslateText	False	chcę przetłumaczyć it's an emergency 	 o o b-text i-text i-text
Translate	TranslateText	False	chcę przetłumaczyć to zdanie another round please 	 o o o o b-text i-text i-text
Translate	TranslateText	False	chcę przetłumaczyć to where is airport 	 o o o b-text i-text i-text
Translate	TranslateText	False	can you suggest another hotel przetłumacz to 	 b-text i-text i-text i-text i-text o o
Translate	TranslateText	False	with pleasure przetłumacz to zdanie 	 b-text i-text o o o
Translate	TranslateText	False	coffee przetłumacz mi to 	 b-text o o o
Translate	TranslateText	False	is there someone here who speaks english przetłumacz mi to zdanie 	 b-text i-text i-text i-text i-text i-text i-text o o o o
Translate	TranslateText	False	where are you taking me tłumaczenie 	 b-text i-text i-text i-text i-text o
Translate	TranslateTextToLanguage	False	jakie jest tłumaczenie na polski zdania i'll call the police 	 o o o o b-trg_lang o b-text i-text i-text i-text
Translate	TranslateTextToLanguage	False	powiedz one more please po hiszpańsku 	 o b-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	False	powiedz i'm not interested w języku tajskim 	 o b-text i-text i-text o o b-trg_lang
Translate	TranslateTextToLanguage	False	tłumacz i'm lost na czeski 	 o b-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	False	przetłumacz cheese na fiński 	 o b-text o b-trg_lang
Translate	TranslateTextToLanguage	False	tłumaczenie the day after tomorrow na polski 	 o b-text i-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	False	i need batteries po niemiecku 	 b-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	False	i need sunblock lotion w języku hiszpańskim 	 b-text i-text i-text i-text o o b-trg_lang
Translate	TranslateTextToLanguage	False	jak powiem thank you w języku czeskim 	 o o b-text i-text o o b-trg_lang
Translate	TranslateTextToLanguage	False	jak powiesz a beer please po fińsku 	 o o b-text i-text i-text o b-trg_lang
Translate	TranslateTextToLanguage	False	jak powiesz ham w języku polskim 	 o o b-text o o b-trg_lang
Translate	TranslateTextToLanguage	False	jak przetłumaczysz wednesday na niemiecki 	 o o b-text o b-trg_lang
Translate	TranslateTextToLanguage	False	jak przetłumaczysz i need shampoo na język hiszpański 	 o o b-text i-text i-text o o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie do you ship overseas z angielskiego na niemiecki 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie you're welcome z angielskiego na włoski 	 o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie tomorrow morning z angielskiego na francuski 	 o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie can i use your phone z angielskiego na hiszpański 	 o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie w dzień świąteczny z polskiego na angielski 	 o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie zamek z polskiego na niemiecki 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie zakaz parkowania z polskiego na włoski 	 o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie nocą z polskiego na francuski 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie tanio z polskiego na hiszpański 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie rot z niemieckiego na polski 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie können sie mir ein anderes hotel empfehlen z niemieckiego na angielski 	 o b-text i-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie zahlen bitte z niemieckiego na włoski 	 o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie ich heiße karl z niemieckiego na francuski 	 o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie zweihundert z niemieckiego na hiszpański 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie l'acqua z włoskiego na polski 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie grazie z włoskiego na niemiecki 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie ho bisogno di dentifricio z włoskiego na angielski 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie piacere di conoscerla z włoskiego na francuski 	 o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie sera z włoskiego na hiszpański 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie quotidien z francuskiego na polski 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie est-ce qu'il y a quelqu'un ici qui parle anglais z francuskiego na niemiecki 	 o b-text i-text i-text i-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie j'ai besoin d'un rasoir z francuskiego na włoski 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie un demi s'il-vous-plaît z francuskiego na angielski 	 o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie j'appelle la police z francuskiego na hiszpański 	 o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie diecinueve z hiszpańskiego na polski 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie esto es una emergencia z hiszpańskiego na niemiecki 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie alguien aquí habla el inglés z hiszpańskiego na włoski 	 o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie no lo quiero z hiszpańskiego na francuski 	 o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	tłumaczenie helicóptero z hiszpańskiego na angielski 	 o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie stop thief z angielskiego na niemiecki 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie do you have any rooms available z angielskiego na włoski 	 o o o b-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie green z angielskiego na francuski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie may i have a glass of wine z angielskiego na hiszpański 	 o o o b-text i-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie proszę rachunek z polskiego na angielski 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie czy jest specjalność lokalu z polskiego na niemiecki 	 o o o b-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie przesiadka z polskiego na włoski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie dwa z polskiego na francuski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie ograniczenie prędkości z polskiego na hiszpański 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie abends z niemieckiego na polski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie eine englischsprachige zeitung z niemieckiego na angielski 	 o o o b-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie salz z niemieckiego na włoski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie sonntag z niemieckiego na francuski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie ich esse nur koscher z niemieckiego na hiszpański 	 o o o b-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie mercoledì z włoskiego na polski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie pomeriggio z włoskiego na angielski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie voglio parlare con un avvocato z włoskiego na francuski 	 o o o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie un milione z włoskiego na hiszpański 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie treize heures z francuskiego na polski 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie dans l'après-midi z francuskiego na niemiecki 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie merci z francuskiego na włoski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie l'après-midi z francuskiego na angielski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie j'ai besoin d'un dictionnaire français-anglais z francuskiego na hiszpański 	 o o o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie mil millones z hiszpańskiego na polski 	 o o o b-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie jueves z hiszpańskiego na niemiecki 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie martes z hiszpańskiego na włoski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie a las dos de la mañana z hiszpańskiego na francuski 	 o o o b-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguage	False	jakie jest tłumaczenie sal z hiszpańskiego na angielski 	 o o o b-text o b-src_lang o b-trg_lang
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie i need a razor z angielskiego na polski przy użyciu yandex 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie half a liter please z angielskiego na niemiecki przy użyciu google 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie breakfast z angielskiego na francuski przy użyciu deepl 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie i'm finished z angielskiego na hiszpański przy użyciu yandex 	 o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie poproszę butelkę piwa z polskiego na angielski przy użyciu google 	 o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie taksówka z polskiego na niemiecki przy użyciu microsoft 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie ulica jednokierunkowa z polskiego na włoski przy użyciu deepl 	 o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie nie jestem zainteresowany z polskiego na francuski przy użyciu yandex 	 o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie czerwiec z polskiego na hiszpański przy użyciu google 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie ich brauche deine hilfe z niemieckiego na polski przy użyciu microsoft 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie darf ich das zimmer erstmal sehen z niemieckiego na angielski przy użyciu deepl 	 o b-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie rechts z niemieckiego na włoski przy użyciu yandex 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie kneipen z niemieckiego na francuski przy użyciu google 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie kann ich dein handy benutzen z niemieckiego na hiszpański przy użyciu microsoft 	 o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie dove sono i gabinetti z włoskiego na polski przy użyciu deepl 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie l'acqua frizzante z włoskiego na niemiecki przy użyciu yandex 	 o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie ottanta z włoskiego na angielski przy użyciu google 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie arrivederci z włoskiego na francuski przy użyciu microsoft 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie buon pomeriggio z włoskiego na hiszpański przy użyciu deepl 	 o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie taxi z francuskiego na polski przy użyciu yandex 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie or pas cher z francuskiego na niemiecki przy użyciu google 	 o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie mensuel z francuskiego na włoski przy użyciu microsoft 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie qu'est-ce que vous avez à la pression z francuskiego na angielski przy użyciu deepl 	 o b-text i-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie j'ai besoin d'une brosse à dents z francuskiego na hiszpański przy użyciu yandex 	 o b-text i-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie noche z hiszpańskiego na polski przy użyciu google 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie estoy bajo arresto z hiszpańskiego na niemiecki przy użyciu microsoft 	 o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie barato z hiszpańskiego na włoski przy użyciu deepl 	 o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	tłumaczenie necesito sellos de correos z hiszpańskiego na francuski przy użyciu yandex 	 o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie south z angielskiego na włoski przy użyciu yandex 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie where does this train go z angielskiego na francuski przy użyciu google 	 o o o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie straight ahead z angielskiego na hiszpański przy użyciu microsoft 	 o o o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie pomarańczowy z polskiego na angielski przy użyciu deepl 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
